Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%,Net_Takeaway,Possession_Score
Connor Clifton,29.0,BUF,D,65.0,733.0,869.0,45.8,-5.4,512.0,626.0,45.0,-5.5,12.0,89.8,101.8,31.7,68.3,15:42,12:52,23.0,62.0,-9.6,162.0,34.0,-39.0,45.4
Nathan Clurman,26.0,PIT,D,1.0,19.0,7.0,73.1,30.1,15.0,5.0,75.0,29.5,0.0,100.0,100.0,50.0,50.0,11:05,11:05,0.0,0.0,1.1,4.0,100.0,0.0,74.05
Dylan Coghlan,26.0,WPG,D,6.0,83.0,96.0,46.4,-1.6,65.0,68.0,48.9,-2.8,7.7,94.9,102.6,41.7,58.3,15:21,14:32,2.0,8.0,0.4,23.0,39.1,-6.0,47.65
Sam Colangelo,23.0,ANA,RW,25.0,256.0,353.0,42.0,-6.9,193.0,261.0,42.5,-5.6,13.1,88.0,101.1,45.8,54.2,12:19,11:08,1.0,13.0,-2.3,69.0,46.4,-12.0,42.25
Ian Cole,35.0,UTA,D,76.0,1389.0,1288.0,51.9,-1.6,995.0,888.0,52.8,-0.1,8.6,90.4,99.0,49.5,50.5,20:18,17:26,23.0,107.0,-1.9,177.0,35.0,-84.0,52.349999999999994
Blake Coleman,33.0,CGY,C,75.0,1172.0,1032.0,53.2,2.6,803.0,703.0,53.3,3.3,7.3,90.6,97.9,41.2,58.8,17:40,14:15,30.0,68.0,0.5,359.0,50.1,-38.0,53.25
Ross Colton,28.0,COL,C,60.0,826.0,719.0,53.5,-1.2,575.0,494.0,53.8,-0.6,8.0,91.1,99.1,50.8,49.2,14:26,12:45,15.0,47.0,5.9,246.0,49.2,-32.0,53.65
J.T. Compher,29.0,DET,LW,68.0,753.0,1025.0,42.4,-7.7,537.0,726.0,42.5,-7.2,10.3,91.7,102.0,46.5,53.5,16:44,13:41,16.0,47.0,-9.3,150.0,58.7,-31.0,42.45
Lucas Condotta,27.0,MTL,F,7.0,49.0,50.0,49.5,-4.6,28.0,34.0,45.2,-7.4,13.3,84.0,97.3,40.7,59.3,8:12,7:55,0.0,2.0,-1.1,10.0,50.0,-2.0,47.35
Kyle Connor,28.0,WPG,LW,76.0,1257.0,1339.0,48.4,-1.8,911.0,968.0,48.5,-2.8,13.4,90.3,103.7,64.9,35.1,20:23,16:44,30.0,73.0,5.1,444.0,55.4,-43.0,48.45
Logan Cooley,20.0,UTA,C,69.0,1038.0,989.0,51.2,-2.0,716.0,684.0,51.1,-2.0,12.0,87.7,99.7,62.4,37.6,17:55,14:21,22.0,61.0,2.8,271.0,53.1,-39.0,51.150000000000006
Andrew Copp,30.0,DET,C,56.0,647.0,737.0,46.7,-0.9,467.0,523.0,47.2,0.8,10.6,91.5,102.1,50.6,49.4,14:42,13:13,18.0,37.0,-2.5,119.0,57.1,-19.0,46.95
Matthew Coronato,22.0,CGY,RW,70.0,1166.0,1045.0,52.7,1.7,814.0,726.0,52.9,2.6,8.3,91.5,99.9,47.9,52.1,17:29,15:00,20.0,45.0,-5.1,337.0,47.5,-25.0,52.8
Paul Cotter,25.0,NJD,C,75.0,847.0,839.0,50.2,-1.1,587.0,612.0,49.0,-1.5,7.9,89.2,97.2,44.9,55.1,13:14,12:42,16.0,38.0,-1.7,194.0,44.3,-22.0,49.6
Nick Cousins,31.0,OTT,C,47.0,534.0,507.0,51.3,-0.6,365.0,354.0,50.8,-2.0,8.5,90.0,98.5,40.3,59.7,11:54,11:48,5.0,23.0,0.2,116.0,54.3,-18.0,51.05
Sean Couturier,32.0,PHI,C,73.0,1150.0,1091.0,51.3,3.7,821.0,737.0,52.7,2.8,11.4,87.9,99.3,50.8,49.2,17:04,15:11,26.0,74.0,11.5,237.0,59.1,-48.0,52.0
Charlie Coyle,32.0,TOT,C/RW,78.0,1015.0,1093.0,48.1,-2.6,690.0,754.0,47.8,-2.6,9.4,90.1,99.5,38.5,61.5,16:54,13:11,41.0,48.0,0.4,208.0,49.5,-7.0,47.95
Charlie Coyle,32.0,BOS,C/RW,64.0,851.0,943.0,47.4,-1.9,570.0,656.0,46.5,-2.5,8.8,89.4,98.1,36.8,63.2,17:38,13:36,38.0,42.0,-1.6,187.0,49.2,-4.0,46.95
Charlie Coyle,32.0,COL,C/RW,14.0,164.0,150.0,52.2,-3.9,120.0,98.0,55.0,-0.9,12.3,95.2,107.5,47.7,52.3,13:32,11:17,3.0,6.0,2.1,21.0,52.4,-3.0,53.6
Dylan Cozens,23.0,TOT,C,75.0,1099.0,1051.0,51.1,1.0,780.0,788.0,49.7,-0.6,10.5,86.9,97.5,53.4,46.6,17:02,14:06,14.0,63.0,-1.6,312.0,56.1,-49.0,50.400000000000006
Dylan Cozens,23.0,BUF,C,61.0,910.0,859.0,51.4,1.0,641.0,647.0,49.8,-0.9,10.6,86.6,97.2,54.2,45.8,17:13,14:17,13.0,56.0,-1.2,253.0,54.9,-43.0,50.599999999999994
Dylan Cozens,23.0,OTT,C,14.0,189.0,192.0,49.6,0.8,139.0,141.0,49.6,1.2,10.3,88.1,98.4,49.1,50.9,16:13,13:19,1.0,7.0,-0.4,59.0,61.0,-6.0,49.6
Louis Crevier,23.0,CHI,D,30.0,343.0,504.0,40.5,-2.5,244.0,361.0,40.3,-1.4,10.3,90.3,100.7,34.4,65.6,17:30,15:53,3.0,29.0,-7.7,69.0,40.6,-26.0,40.4
Angus Crookshank,25.0,OTT,LW,3.0,30.0,18.0,62.5,9.2,19.0,14.0,57.6,7.6,7.1,81.8,89.0,36.4,63.6,9:11,9:05,0.0,2.0,0.1,7.0,71.4,-2.0,60.05
Sidney Crosby,37.0,PIT,C,74.0,1452.0,1311.0,52.6,4.1,1046.0,974.0,51.8,4.0,11.5,85.5,96.9,60.9,39.1,20:25,17:15,27.0,78.0,-0.9,384.0,53.6,-51.0,52.2
Lawson Crouse,27.0,UTA,LW,75.0,914.0,816.0,52.8,0.1,643.0,578.0,52.7,0.0,7.4,91.1,98.5,48.6,51.4,13:55,12:01,15.0,54.0,3.4,226.0,53.1,-39.0,52.75
Maxwell Crozier,24.0,TBL,D,5.0,84.0,77.0,52.2,1.3,60.0,62.0,49.2,-4.9,7.9,92.5,100.4,39.6,60.4,16:41,16:36,0.0,6.0,0.7,20.0,45.0,-6.0,50.7
William Cuylle,22.0,NYR,LW,75.0,935.0,1012.0,48.0,-1.1,678.0,724.0,48.4,-0.6,11.4,90.0,101.4,50.5,49.5,15:05,13:11,9.0,42.0,-6.0,240.0,56.3,-33.0,48.2
Colton Dach,22.0,CHI,C,25.0,221.0,318.0,41.0,-0.5,162.0,239.0,40.4,-0.2,11.5,90.4,102.0,49.7,50.3,12:08,11:28,13.0,12.0,-5.7,47.0,57.4,1.0,40.7
Kirby Dach,24.0,MTL,C/RW,57.0,658.0,810.0,44.8,-4.9,469.0,565.0,45.4,-3.9,7.8,87.5,95.4,63.4,36.6,15:40,13:09,10.0,39.0,-5.0,155.0,54.2,-29.0,45.099999999999994
Evgenii Dadonov,35.0,DAL,RW,73.0,875.0,949.0,48.0,-2.7,609.0,689.0,46.9,-2.6,12.8,90.1,102.9,50.0,50.0,13:34,12:33,9.0,63.0,4.0,211.0,53.6,-54.0,47.45
Rasmus Dahlin,24.0,BUF,D,65.0,1490.0,1237.0,54.6,8.5,1052.0,888.0,54.2,8.3,10.8,88.8,99.6,56.3,43.7,24:14:00,20:17,32.0,91.0,6.3,387.0,45.2,-59.0,54.400000000000006
Phillip Danault,31.0,LAK,C,74.0,1197.0,947.0,55.8,3.8,878.0,653.0,57.3,5.1,10.3,90.3,100.7,49.1,50.9,17:45,14:34,24.0,81.0,3.8,224.0,52.2,-57.0,56.55
Justin Danforth,31.0,CBJ,RW/C,53.0,616.0,702.0,46.7,-3.3,424.0,485.0,46.6,-3.9,8.3,89.8,98.1,42.3,57.7,14:35,12:27,7.0,25.0,-4.3,125.0,66.4,-18.0,46.650000000000006
Calvin de Haan,33.0,TOT,D,47.0,652.0,634.0,50.7,-2.8,460.0,420.0,52.3,-0.7,8.9,88.6,97.6,34.1,65.9,14:58,14:01,7.0,35.0,-1.4,146.0,34.9,-28.0,51.5
Calvin de Haan,33.0,COL,D,44.0,605.0,591.0,50.6,-3.5,423.0,394.0,51.8,-1.8,8.4,87.8,96.2,31.3,68.7,14:55,13:57,5.0,35.0,-1.8,135.0,35.6,-30.0,51.2
Calvin de Haan,33.0,NYR,D,3.0,47.0,43.0,52.2,7.6,37.0,26.0,58.7,14.4,14.3,100.0,114.3,76.5,23.5,15:51,14:47,2.0,0.0,0.4,11.0,27.3,2.0,55.45
